step,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11,torque_12,torque_13,torque_14,torque_15,torque_16,torque_17,torque_18
28,-2.2831726,13.595757,-25.582718,-29.884033,1.8006592,-10.78734,-16.766052,19.225052,13.003052,2.0392456,37.956947,5.463848,0.09034729,-5.224518,-18.0,-40.0,-13.514847,-8.1711235,-12.744476
29,-2.3647623,10.62574,4.351532,-2.876709,-34.103455,23.915741,-75.90516,68.155334,-190.76117,-27.634735,-6.827882,-6.8729095,1.8118286,-6.035488,7.0234375,7.063301,9.92688,15.632217,-18.0
30,13.492409,-9.953857,-11.424271,-12.362915,-40.0,24.213976,-44.604195,-52.909424,-300.0,-40.0,-37.512684,-40.0,9.547813,-18.0,18.0,29.553349,11.045059,-18.0,18.0
31,10.848354,14.401878,30.93396,-10.706055,-3.2106934,-14.531954,-89.205666,-132.40826,-300.0,-20.322388,-26.661278,-7.62825,3.9951859,-15.307301,18.0,6.4207993,-0.32510376,-7.9440002,2.4726868
32,0.90715027,19.828964,-5.1799316,-7.9108887,-40.0,-19.755798,-56.17767,-14.648163,-300.0,24.030243,7.5743885,-15.021606,-16.270317,1.3254242,-18.0,-23.042686,-25.008362,-1.5487442,-11.91864
33,-9.119438,37.987244,-0.19869995,14.966919,6.9733276,16.887316,-124.72522,-44.592712,-239.11407,40.0,-8.966007,-12.4268,30.8266,18.0,-4.6095886,-30.612663,-0.384964,-18.0,-18.0
34,-1.2120819,30.400131,-20.652802,10.684326,40.0,-6.32032,-109.05942,-2.1311493,-145.12921,-40.0,39.59813,28.585312,40.0,3.0734005,1.0985107,0.40014458,-4.925995,-18.0,6.502136
35,12.093027,5.8911757,15.375183,14.837402,-8.086426,8.6165,-49.096184,-100.434525,-194.00482,-32.59433,-32.226448,-20.245762,7.6180267,-18.0,-7.9353943,9.325635,6.3695755,9.492104,4.256134
36,-8.029373,1.7064247,14.564331,21.82727,-5.9951477,-7.4356728,-0.4805565,-86.13272,-174.38834,-40.0,7.8113155,-20.334137,-23.171425,-0.62636185,-18.0,-40.0,40.0,11.281143,-4.3778076
37,-8.721254,-20.715286,-7.383148,22.39563,-40.0,-3.793758,49.345047,-50.260605,-107.944244,-8.59137,19.296566,40.0,-2.7363968,3.871338,18.0,7.89085,-21.452408,18.0,18.0
38,-1.2927246,26.656395,-25.954712,29.484985,-0.66326904,-12.634602,-71.17738,76.33026,22.229126,4.9229736,34.189823,40.0,-2.5643806,2.0485992,4.2459717,-10.057495,4.972473,18.0,-6.577301
39,3.5888138,34.083347,14.606323,19.582642,-40.0,-2.9619026,-25.643934,22.4699,10.6536255,-4.828125,-3.4627733,-14.49809,38.4032,7.0356884,-18.0,-3.2756271,-25.74321,18.0,-18.0
40,2.3808746,-25.7687,42.28891,13.427246,28.917908,4.4537125,18.540009,-50.60291,-23.907898,-5.8472595,-11.758411,-7.7193766,32.990265,1.3277855,0.5765991,4.1356754,40.0,-18.0,-18.0
41,4.6335564,10.062111,4.3502502,11.273621,-12.727081,-0.1355133,3.8866196,-38.002426,-27.285156,-10.842712,-11.123093,15.888676,-40.0,-18.0,18.0,15.693544,-1.620575,-1.2940598,18.0
42,-2.5550919,-12.72966,8.838745,15.63623,-2.0346375,2.340042,12.705795,-24.990288,-24.738403,-40.0,2.6329803,-8.003542,-17.284088,0.5717087,-4.8341064,-2.0031586,-26.91784,-3.4010828,18.0
43,4.2665825,13.210419,31.618744,28.387085,1.8337402,-3.582306,7.060772,-36.344955,-34.827515,2.9256287,-22.128159,-40.0,-3.0324593,18.0,-6.9995117,-3.9600754,-26.10437,-3.152443,-2.8474731
44,3.1330585,6.0961685,16.828308,25.483887,-5.3622437,1.5688438,9.299866,-18.954147,-21.221313,-2.450348,0.20018005,2.3116455,19.35936,18.0,0.78308105,-3.8373756,-30.911072,-18.0,18.0
45,5.061981,18.814402,11.053101,8.82489,-8.93045,0.4414482,-21.443687,-8.438881,-1.8327637,1.3132935,-15.217773,-4.962677,40.0,18.0,18.0,-1.0644226,40.0,18.0,-18.0
46,-6.2672653,-5.5053406,-38.441895,-2.9281616,5.257599,7.5980835,-4.167221,24.76416,6.6517334,11.695618,35.141205,10.44574,6.215149,-7.441826,-4.773926,-19.7424,40.0,0.7167206,-6.165161
47,-1.6821098,-15.241314,26.048096,13.659485,6.333191,-2.4179196,15.3367,-36.2069,-11.314209,4.5129395,1.5834084,36.910755,-16.933441,-18.0,4.3983154,2.8294907,40.0,-18.0,-3.4218445
48,1.5951691,2.2163162,65.31531,-181.87561,-13.844818,0.66690445,15.915909,-39.462776,-7.046875,-5.584503,-19.801613,26.187122,-12.060638,-0.41257477,15.332733,40.0,24.001726,-18.0,-8.902893
49,-25.369629,39.657623,-11.483246,-208.10126,28.644257,24.673195,-11.149956,-12.366379,-23.441162,3.420166,5.742342,5.1480103,1.2401886,-6.0439987,-18.0,-7.3867264,-8.822556,18.0,7.0153503
50,-23.968582,37.925034,-57.420654,-300.0,15.436584,21.509926,-11.416843,-19.120224,0.9556885,-10.912781,-4.615059,-12.985687,9.105057,-18.0,-0.22091675,-5.2403793,-29.67429,-1.8034477,-0.49414062
51,12.022401,150.71397,-151.31076,-300.0,-16.426025,-14.803408,-47.07042,56.953934,14.437134,-40.0,5.2251415,19.121605,-40.0,-18.0,-18.0,4.373886,-40.0,18.0,-2.394165
52,16.941986,200.0,-47.383224,-300.0,30.359741,-4.6722126,-46.56681,-4.9890747,-4.7510986,1.8136292,-25.751196,-40.0,4.993973,7.712391,-0.2609558,-3.9732742,-40.0,-18.0,10.487701
53,-18.320793,99.68421,-68.885345,-156.78131,-40.0,-9.360634,-29.472084,9.248718,14.997559,-7.194824,14.445099,0.8707466,40.0,-3.7609673,18.0,-18.942238,-40.0,-1.8244476,-18.0
54,-2.7043152,-29.08286,-113.93836,-141.62747,-40.0,-7.156418,6.7359047,48.42209,23.170532,1.3349915,3.0787735,-40.0,16.152039,9.128191,-5.8884277,-3.649498,9.760801,-18.0,18.0
55,6.887619,60.98268,-20.712776,-14.291931,1.9371338,-8.833687,-15.940721,19.436768,21.841675,-2.8544312,6.6224747,-10.213959,-13.831116,-18.0,-6.013489,-11.2225685,-40.0,-18.0,-8.121796
56,19.055733,-7.3152847,68.518456,26.288574,3.9763794,9.40405,-12.098238,-31.044739,-2.8015137,3.3487244,-35.907143,-7.3855896,-13.255493,3.0760574,9.125,-11.739357,39.352993,7.677353,-10.313385
57,7.311001,30.907104,3.657837,-5.895447,-8.83728,0.23895645,-32.308624,-4.012024,12.179199,-2.1799927,-17.382277,5.6006927,-12.615585,18.0,-5.4585266,23.47752,-17.650688,1.6600387,4.5861206
58,-16.738335,-29.157719,-79.84168,-36.739502,-21.208527,7.230629,13.818451,58.76886,28.266602,-5.113434,42.727104,17.681366,33.417564,18.0,3.6240845,-10.583786,27.774944,2.6521606,-6.369507
59,-20.682549,-2.937706,-55.6693,-36.319824,-40.0,4.7704773,-8.056072,32.980286,34.522095,5.872284,26.96801,40.0,6.805084,-3.6506248,-18.0,2.0765076,-7.7965775,-18.0,-18.0
60,-11.757652,1.9591293,-44.676437,-35.372314,8.939117,6.0157623,32.47592,44.62259,40.068604,16.860718,12.077026,40.0,-5.998062,-18.0,18.0,8.995766,-29.345322,2.1524239,-0.23120117
61,16.36499,27.2166,20.951027,-9.967529,-0.16055298,-9.020866,-15.493366,-14.217285,10.462219,40.0,-12.186665,40.0,-40.0,-17.036774,4.3968506,19.11618,-22.67952,-0.71642303,18.0
62,-0.12028885,-30.807663,-38.18936,-25.95642,-10.778564,7.3110714,17.99997,33.85585,29.958435,-1.5609131,-9.56156,-10.857322,7.673874,16.90046,-4.682129,40.0,8.163544,2.0453339,-18.0
63,-8.273376,20.079865,-15.1844635,23.01416,21.307724,3.4166565,4.9508057,192.30501,-91.856384,-10.647308,25.698357,-0.21815872,4.2829514,18.0,0.032165527,2.751442,40.0,18.0,1.9616394
64,-12.797791,36.755264,-76.08542,-3.8521729,-8.8246765,22.44548,-145.83241,20.099373,-111.019104,29.39273,12.092346,-6.58889,15.532944,17.949608,18.0,-3.7134247,40.0,18.0,3.7301636
65,-13.754662,55.832527,-3.8548698,0.18591309,13.697998,-2.5273247,-200.0,-141.33049,-251.22165,40.0,30.600502,7.1632614,40.0,-4.212677,14.69989,-17.72295,16.596176,-1.3960114,18.0
66,8.455551,60.926865,40.038914,19.017456,40.0,-11.336166,-200.0,-200.0,-261.44434,40.0,4.624775,-40.0,17.00653,-2.0741882,-18.0,-40.0,35.017242,2.6657715,-3.0369568
